agent,opponent,K,agent_role,who_starts,seed,W,D,L,n_games
Improved,Minimax,2,1,agent,1,110,90,0,200
Improved,Minimax,2,1,agent,2,116,84,0,200
Improved,Minimax,2,1,agent,3,112,88,0,200
Improved,Minimax,2,1,agent,4,114,86,0,200
Improved,Minimax,2,2,opponent,0,0,37,163,200
Improved,Minimax,2,2,opponent,1,0,33,167,200
Improved,Minimax,2,2,opponent,2,0,35,165,200
Improved,Minimax,2,2,opponent,3,0,46,154,200
Improved,Minimax,2,2,opponent,4,0,42,158,200
Improved,Minimax,4,1,agent,0,126,55,19,200
Improved,Minimax,4,1,agent,1,131,39,30,200
Improved,Minimax,4,1,agent,2,129,48,23,200
Improved,Minimax,4,1,agent,3,130,51,19,200
Improved,Minimax,4,1,agent,4,121,51,28,200
Improved,Minimax,4,2,opponent,0,6,26,168,200
Improved,Minimax,4,2,opponent,1,9,36,155,200
Improved,Minimax,4,2,opponent,2,13,28,159,200
Improved,Minimax,4,2,opponent,3,9,35,156,200
Improved,Minimax,4,2,opponent,4,12,41,147,200
DQN,Random,0,1,agent,0,177,12,11,200
DQN,Random,0,1,agent,1,178,9,13,200
DQN,Random,0,1,agent,2,184,5,11,200
DQN,Random,0,1,agent,3,177,12,11,200
DQN,Random,0,1,agent,4,181,9,10,200
DQN,Random,0,2,opponent,0,153,21,26,200
DQN,Random,0,2,opponent,1,159,14,27,200
DQN,Random,0,2,opponent,2,161,20,19,200
DQN,Random,0,2,opponent,3,173,11,16,200
DQN,Random,0,2,opponent,4,164,21,15,200
DQN,Random,2,1,agent,0,142,31,27,200
DQN,Random,2,1,agent,1,158,25,17,200
DQN,Random,2,1,agent,2,150,21,29,200
DQN,Random,2,1,agent,3,161,22,17,200
DQN,Random,2,1,agent,4,159,29,12,200
DQN,Random,2,2,opponent,0,127,18,55,200
DQN,Random,2,2,opponent,1,124,26,50,200
DQN,Random,2,2,opponent,2,127,22,51,200
DQN,Random,2,2,opponent,3,110,39,51,200
DQN,Random,2,2,opponent,4,120,30,50,200
DQN,Random,4,1,agent,0,158,23,19,200
DQN,Random,4,1,agent,1,159,23,18,200
DQN,Random,4,1,agent,2,150,26,24,200
DQN,Random,4,1,agent,3,138,36,26,200
DQN,Random,4,1,agent,4,141,27,32,200
DQN,Random,4,2,opponent,0,103,21,76,200
DQN,Random,4,2,opponent,1,93,35,72,200
DQN,Random,4,2,opponent,2,103,17,80,200
DQN,Random,4,2,opponent,3,97,30,73,200
DQN,Random,4,2,opponent,4,92,31,77,200
DQN,Algorithm,0,1,agent,0,0,200,0,200
DQN,Algorithm,0,1,agent,1,0,200,0,200
DQN,Algorithm,0,1,agent,2,0,200,0,200
DQN,Algorithm,0,1,agent,3,0,200,0,200
DQN,Algorithm,0,1,agent,4,0,200,0,200
DQN,Algorithm,0,2,opponent,0,0,0,200,200
DQN,Algorithm,0,2,opponent,1,0,0,200,200
DQN,Algorithm,0,2,opponent,2,0,0,200,200
